/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Wed Feb 26 11:28:38 CET 2025
No. of cores = 96
No. of processes = 96
No. of OMP threads = 1
opt_iter: 169, opt_time: 78.3 (s), beta: 8, C: 5.573, V: 0.080, U: 0.000, change: 0.020
opt_iter: 170, opt_time: 78.2 (s), beta: 8, C: 5.567, V: 0.080, U: 0.000, change: 0.020
opt_iter: 171, opt_time: 78.6 (s), beta: 8, C: 5.562, V: 0.080, U: 0.000, change: 0.020
opt_iter: 172, opt_time: 78.4 (s), beta: 8, C: 5.558, V: 0.080, U: 0.000, change: 0.020
opt_iter: 173, opt_time: 78.4 (s), beta: 8, C: 5.553, V: 0.080, U: 0.000, change: 0.020
opt_iter: 174, opt_time: 78.3 (s), beta: 8, C: 5.548, V: 0.080, U: 0.000, change: 0.020
opt_iter: 175, opt_time: 78.4 (s), beta: 8, C: 5.544, V: 0.080, U: 0.000, change: 0.020
opt_iter: 176, opt_time: 78.3 (s), beta: 8, C: 5.540, V: 0.080, U: 0.000, change: 0.020
opt_iter: 177, opt_time: 78.2 (s), beta: 8, C: 5.536, V: 0.080, U: 0.000, change: 0.020
opt_iter: 178, opt_time: 78.3 (s), beta: 8, C: 5.532, V: 0.080, U: 0.000, change: 0.020
opt_iter: 179, opt_time: 78.4 (s), beta: 8, C: 5.528, V: 0.080, U: 0.000, change: 0.020
opt_iter: 180, opt_time: 78.4 (s), beta: 8, C: 5.524, V: 0.080, U: 0.000, change: 0.020
opt_iter: 181, opt_time: 78.2 (s), beta: 8, C: 5.520, V: 0.080, U: 0.000, change: 0.020
opt_iter: 182, opt_time: 78.1 (s), beta: 8, C: 5.517, V: 0.080, U: 0.000, change: 0.020
